id,code,name,unit,cost,rate,price,WPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,15132502948006,2IN1 DATACABLEV8,1,100,100,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,15132502948015,BLUE I IP 5 DATA CABLE DC 01 I5,1,87,NULL,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,15132502948024,SLX CHARGER DC5IN1,1,80,80,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,15132502948033,BLUE I V8 DATA CABLE DC LED 01,1,236,200,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,15132502948042,CELKON DIAMOND U,1,5749.0048,5133.04,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,15132502948051,MOTO E4,1,6996,7316.96,8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1513250294806,SAMSUNG CAR CHARGER ECAQI16CB,1,1060.82,899,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,15132502948069,CELKON EDGEC235,1,1702.4,1520,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,15132502948078,TEMPER GLASS ELUGAA2TG,1,20,20,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,15132502948087,INTEX FORCEZX,1,1187.2,1060,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,15132502948096,MOTO G5,1,11678.0048,10426.79,12499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,15132502948105,MOTO G5S,1,9642.08,12052.68,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,15132502948115,CROMA BLUETOOTH G7,1,300,300,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,15132502948124,G4 GENIUS GG06,1,377.6,320,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,15132502948133,POUCH GIONEEA1DOTTED,1,35,35,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
