Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Code,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1156,Half Legs,MEN/WOMEN,1,0,700,700,,,Nos,GST18,INCLUSIVE,,service,Reflexology (MW),,,,,,,
1157,Feet ,MEN/WOMEN,1,0,400,400,,,Nos,GST18,INCLUSIVE,,service,Reflexology (MW),,,,,,,
1158,Eyebrow,WOMEN,1,0,80,80,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1159,Upperlip,WOMEN,1,0,55,55,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1160,Chin,WOMEN,1,0,65,65,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1161,Chin with Heavy Growth,WOMEN,1,0,75,75,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1162,Forehead,WOMEN,1,0,65,65,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1163,Cheek,WOMEN,1,0,80,80,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1164,Sides,WOMEN,1,0,125,125,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1165,Full face,WOMEN,1,0,300,300,,,Nos,GST18,INCLUSIVE,,service,Thredding,,,,,,,
1166,Full Face,WOMEN,1,0,550,550,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1167,Upper Lips,WOMEN,1,0,150,150,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1168,Sides With Heavy Growth,WOMEN,1,0,180,180,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1169,Chin with Heavy Growth,WOMEN,1,0,180,180,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1170,Lower Lips,WOMEN,1,0,150,150,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1171,Sides,WOMEN,1,0,150,150,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1172,Chin,WOMEN,1,0,160,160,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1173,Underams,WOMEN,1,0,250,250,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1174,Bikini,WOMEN,1,0,2500,2500,,,Nos,GST18,INCLUSIVE,,service,BRAZILLIAN,,,,,,,
1175,Half arms,WOMEN,1,0,350,350,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1176,Full arms,WOMEN,1,0,450,450,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1177,Under Arms,WOMEN,1,0,150,150,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1178,Half leg,WOMEN,1,0,550,550,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1179,Full leg,WOMEN,1,0,650,650,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1180,Lower back/Upper Back/midriff,WOMEN,1,0,650,650,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1181,Full Back,WOMEN,1,0,800,800,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1182,Full Body,WOMEN,1,0,2200,2200,,,Nos,GST18,INCLUSIVE,,service,CLASSIC WAXING,,,,,,,
1183,Half arms,WOMEN,1,0,550,550,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1184,Full arms,WOMEN,1,0,650,650,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1185,Under Arms,WOMEN,1,0,250,250,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1186,Half leg,WOMEN,1,0,750,750,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1187,Full leg,WOMEN,1,0,950,950,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1188,Lower back/Upper Back/midriff,WOMEN,1,0,1050,1050,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1189,Full Back,WOMEN,1,0,1250,1250,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1190,Full Body,WOMEN,1,0,3500,3500,,,Nos,GST18,INCLUSIVE,,service,ROLL ON,,,,,,,
1191,Acne Face Clean-Up,MEN/WOMEN,1,0,800,800,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1192,Skin Lightning Face clean up,MEN/WOMEN,1,0,800,800,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1193,Fair bloom Facial,MEN/WOMEN,1,0,2200,2200,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1194,Skin Lightening Advance Facial,MEN/WOMEN,1,0,3200,3200,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1195,Dermo Spa,MEN/WOMEN,1,0,4000,4000,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1196,Bridal Facial  ,MEN/WOMEN,1,0,4400,4400,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1197,Gold Facial,MEN/WOMEN,1,0,2000,2000,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1198,Moraccan gold,MEN/WOMEN,1,0,2700,2700,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1199,O2C2 Radiance Facial,MEN/WOMEN,1,0,3900,3900,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1200,Platinum Glow  Facial,MEN/WOMEN,1,0,2700,2700,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1201,Burrberry Facial,MEN/WOMEN,1,0,2900,2900,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1202,Dead sea mineral,MEN/WOMEN,1,0,2800,2800,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1203,Vitamin-C Facial,MEN/WOMEN,1,0,3500,3500,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1204,anti agening  stem cells facial,MEN/WOMEN,1,0,4220,4220,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1205,Sensi balance,MEN/WOMEN,1,0,2300,2300,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1206,Fair glow,MEN/WOMEN,1,0,2900,2900,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1207,HYDRA FACIAL,MEN/WOMEN,1,0,6000,6000,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1208,"Cut ,File ",MEN/WOMEN,1,0,200,200,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1209,Classic pedicure ,MEN/WOMEN,1,0,600,600,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1210,Paraffin pedicure,MEN/WOMEN,1,0,750,750,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1211,Chocolate foot spa,MEN/WOMEN,1,0,1100,1100,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1212,Crystal crush pedicure (Rose.aloevera.strawberry),MEN/WOMEN,1,0,1100,1100,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1213,Dead sea pedicure,MEN/WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1214,Ice cream signature pedicure ,MEN/WOMEN,1,0,1600,1600,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1215,Classic manicure,MEN/WOMEN,1,0,550,550,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1216,Paraffin Manicure,MEN/WOMEN,1,0,650,650,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1217,Crystal crush manicure (Rose.Aloe vera & strawberry),MEN/WOMEN,1,0,950,950,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1218,Chocolate SPA Manicure,MEN/WOMEN,1,0,950,950,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1219,Dead sea manicure,MEN/WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1220,Ice cream signature manicure,MEN/WOMEN,1,0,1400,1400,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1221,ROOT TOUCH UP[max1.5inch],WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1222,ROOT TOUCH UP-NON AMMONIA,WOMEN,1,0,1600,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1223,GLOBAL COLOURING-AMMONIA,MEN,1,0,1000,1000,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1224,GLOBAL COLOURING-NON AMMONIA,MEN,1,0,1200,1200,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1225,FASHION,MEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,MENS FASHION,,,,,,,
