Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,Track Quantity,Type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
F1093,Half Back[or]Front,WOMEN,1,0,380,430,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1094,Full Back [or]Front,WOMEN,1,0,485,530,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1095,Full body ,WOMEN,1,0,3300,3700,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1096,Face &Neck,WOMEN,1,0,380,440,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1097,Face Neck & blouseline,WOMEN,1,0,445,505,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1098,Upper lip,WOMEN,1,0,55,70,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1099,Under Arms,WOMEN,1,0,140,155,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1100,Half  Arms,WOMEN,1,0,215,250,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1101,Full Arms,WOMEN,1,0,430,480,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1102,Half legs,WOMEN,1,0,425,475,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1103,Full legs,WOMEN,1,0,705,780,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1104,Feet,WOMEN,1,0,290,330,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1105,Midriff,WOMEN,1,0,185,200,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1106,Half Back[or]Front,WOMEN,1,0,285,330,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1107,Full Back [or]Front,WOMEN,1,0,355,400,0,999721,Nos,GST18,inclusive,0,service,CREAM BLEACH(FEMALE),,,,,,,
F1108,Body Polish,WOMEN,1,0,3600,4000,0,999721,Nos,GST18,inclusive,0,service,BODY TREATMENT(FEMALE),,,,,,,
F1109,Body Wrap,WOMEN,1,0,1620,1800,0,999721,Nos,GST18,inclusive,0,service,BODY TREATMENT(FEMALE),,,,,,,
F1110,Full Arms Polish,WOMEN,1,0,900,1055,0,999721,Nos,GST18,inclusive,0,service,BODY TREATMENT(FEMALE),,,,,,,
F1111,Full Back Polish,WOMEN,1,0,950,1100,0,999721,Nos,GST18,inclusive,0,service,BODY TREATMENT(FEMALE),,,,,,,
F1112,Back & Neck ,WOMEN,1,0,590,655,0,999721,Nos,GST18,inclusive,0,service,REFLEXOLOGY(FEMALE),,,,,,,
F1113,Full Hand ,WOMEN,1,0,365,405,0,999721,Nos,GST18,inclusive,0,service,REFLEXOLOGY(FEMALE),,,,,,,
F1114,Half Legs,WOMEN,1,0,550,605,0,999721,Nos,GST18,inclusive,0,service,REFLEXOLOGY(FEMALE),,,,,,,
F1115,Feet ,WOMEN,1,0,300,350,0,999721,Nos,GST18,inclusive,0,service,REFLEXOLOGY(FEMALE),,,,,,,
F1116,Eyebrow,WOMEN,1,0,40,55,0,999721,Nos,GST18,inclusive,0,service,THREADING(FEMALE),,,,,,,
F1117,Upperlip,WOMEN,1,0,40,55,0,999721,Nos,GST18,inclusive,0,service,THREADING(FEMALE),,,,,,,
F1118,Chin,WOMEN,1,0,45,65,0,999721,Nos,GST18,inclusive,0,service,THREADING(FEMALE),,,,,,,
F1119,Forehead,WOMEN,1,0,45,65,0,999721,Nos,GST18,inclusive,0,service,THREADING(FEMALE),,,,,,,
F1120,Cheek,WOMEN,1,0,60,75,0,999721,Nos,GST18,inclusive,0,service,THREADING(FEMALE),,,,,,,
F1121,Sides,WOMEN,1,0,100,125,0,999721,Nos,GST18,inclusive,0,service,THREADING(FEMALE),,,,,,,
F1122,Full face,WOMEN,1,0,190,230,0,999721,Nos,GST18,inclusive,0,service,THREADING(FEMALE),,,,,,,
F1123,Half arms,WOMEN,1,0,200,235,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1124,Full arms,WOMEN,1,0,250,295,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1125,Under Arms,WOMEN,1,0,100,140,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1126,Half leg,WOMEN,1,0,295,345,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1127,Full leg,WOMEN,1,0,355,410,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1128,Full face,WOMEN,1,0,220,260,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1129,Lower back/Upper Back/midriff,WOMEN,1,0,380,450,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1130,Full Back,WOMEN,1,0,520,605,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1131,Full Body,WOMEN,1,0,1895,2185,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1132,Bikni Line,WOMEN,1,0,300,350,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1133,Full Bikni,WOMEN,1,0,1100,1200,0,999721,Nos,GST18,inclusive,0,service,CLASSIC WAXING(FEMALE),,,,,,,
F1134,Half arms,WOMEN,1,0,370,450,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
