Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Code,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1224,GLOBAL COLOURING-NON AMMONIA,MEN,1,0,,1200,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1225,FASHION,MEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1226,PARTIAL HEAD HIGHLIGHT,MEN,1,0,,1800,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1227,FULL HEAD  HIGHLIGHTS,MEN,1,0,,3000,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1228,HAIR SPA,MEN,1,0,,955,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1229,Anti-Dandruff Treatment,MEN,1,0,,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1230,Anti-Hairfall Treatment,MEN,1,0,,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1231,SHAMPOO & CONDITIONING-S,WOMEN,1,0,,350,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1232,SHAMPOO & CONDITIONING-M,WOMEN,1,0,,400,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1233,SHAMPOO & CONDITIONING-L,WOMEN,1,0,,450,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1234,HAIR WASH&STYLING - S,WOMEN,1,0,,600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1235,HAIR WASH&STYLING-M,WOMEN,1,0,,700,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1236,HAIR WASH&STYLING-L,WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1237,HEAD OIL MASSAGE  - S,WOMEN,1,0,,550,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1238,HEAD OIL MASSAGE-M,WOMEN,1,0,,650,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1239,HEAD OIL MASSAGE-L,WOMEN,1,0,,750,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
