Code,Name,Category Code,Unit,Cost,member price,non member,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
F200030,Intense smoothening Plus - Treatment-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,exclusive,,,,,,,,
F200031,Intense smoothening Plus - Treatment-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,exclusive,,,,,,,,
F200032,Colour Radiance Plus - Treatment-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,exclusive,,,,,,,,
F200033,Colour Radiance Plus - Treatment-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,exclusive,,,,,,,,
F200034,Colour Radiance Plus - Treatment-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,exclusive,,,,,,,,
F200035,Anti-Breakage Strengthening plus - Treatment-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,exclusive,,,,,,,,
F200036,Anti-Breakage Strengthening plus - Treatment-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,exclusive,,,,,,,,
F200037,Anti-Breakage Strengthening plus - Treatment-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,exclusive,,,,,,,,
F200038,Nutritive Plus Treatment - Normal to Dull Hair-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,exclusive,,,,,,,,
F200039,Nutritive Plus Treatment - Normal to Dull Hair-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,exclusive,,,,,,,,
F200040,Nutritive Plus Treatment - Normal to Dull Hair-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,exclusive,,,,,,,,
F200041,Peptide Nourishing Treatment - Dry to Damaged Hair-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,exclusive,,,,,,,,
F200042,Peptide Nourishing Treatment - Dry to Damaged Hair-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,exclusive,,,,,,,,
F200043,Peptide Nourishing Treatment - Dry to Damaged Hair-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,exclusive,,,,,,,,
F200044,Intense smoothening Plus - Treatment-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,exclusive,,,,,,,,
F200045,Intense smoothening Plus - Treatment-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,exclusive,,,,,,,,
F200046,Intense smoothening Plus - Treatment-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,exclusive,,,,,,,,
F200047,Colour Radiance Plus - Treatment-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,exclusive,,,,,,,,
F200048,Colour Radiance Plus - Treatment-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,exclusive,,,,,,,,
F200049,Colour Radiance Plus - Treatment-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,exclusive,,,,,,,,
F200050,Anti-Breakage Strengthening plus - Treatment-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,exclusive,,,,,,,,
F200051,Anti-Breakage Strengthening plus - Treatment-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,exclusive,,,,,,,,
F200052,Anti-Breakage Strengthening plus - Treatment-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,exclusive,,,,,,,,
F200053,GLOBAL COLOURING-S,WOMEN,1,0,1755,1935,0,,Nos,GST18,exclusive,,,,,,,,
F200054,GLOBAL COLOURING-M,WOMEN,1,0,2745,3025,0,,Nos,GST18,exclusive,,,,,,,,
F200055,GLOBAL COLOURING-L,WOMEN,1,0,3685,4060,0,,Nos,GST18,exclusive,,,,,,,,
F200056,ROOT TOUCH-UP[REGULAR](max1.5inch),WOMEN,1,0,1040,1150,0,,Nos,GST18,exclusive,,,,,,,,
F200057,PREMIUM COLOURING [GLOBAL]-S,WOMEN,1,0,2735,3250,0,,Nos,GST18,exclusive,,,,,,,,
F200058,PREMIUM COLOURING [GLOBAL]-M,WOMEN,1,0,3435,3975,0,,Nos,GST18,exclusive,,,,,,,,
F200059,PREMIUM COLOURING [GLOBAL]-L,WOMEN,1,0,4135,5025,0,,Nos,GST18,exclusive,,,,,,,,
F200060,ROOT TOUCH-UP[max-1.5 inch],WOMEN,1,0,1265,1430,0,,Nos,GST18,exclusive,,,,,,,,
F200061,STREAKS-PER- STREAKS,WOMEN,1,0,305,355,0,,Nos,GST18,exclusive,,,,,,,,
F200062,ADVANCED STREAKS -PRE STREAKS[INCLUES PRE-LIGHTENING],WOMEN,1,0,520,595,0,,Nos,GST18,exclusive,,,,,,,,
F200063,PREMIUM STRAIGHTENIG/SMOOTHENING-S,WOMEN,1,0,4920,5680,0,,Nos,GST18,exclusive,,,,,,,,
F200064,PREMIUM STRAIGHTENIG/SMOOTHENING-M,WOMEN,1,0,7260,8360,0,,Nos,GST18,exclusive,,,,,,,,
F200065,PREMIUM STRAIGHTENIG/SMOOTHENING-L,WOMEN,1,0,9535,11235,0,,Nos,GST18,exclusive,,,,,,,,
F200066,PREMIUM REBONDING-S,WOMEN,1,0,7565,8705,0,,Nos,GST18,exclusive,,,,,,,,
F200067,PREMIUM REBONDING-M,WOMEN,1,0,9535,10975,0,,Nos,GST18,exclusive,,,,,,,,
F200068,PREMIUM REBONDING-L,WOMEN,1,0,12560,14380,0,,Nos,GST18,exclusive,,,,,,,,
F200069,Herbal Face Clean up,WOMEN,1,0,575,645,0,,Nos,GST18,exclusive,,,,,,,,
F200070,Acne Face Clean-Up,WOMEN,1,0,690,760,0,,Nos,GST18,exclusive,,,,,,,,
F200071,Skin Lightning Face clean up,WOMEN,1,0,690,760,0,,Nos,GST18,exclusive,,,,,,,,
F200072,Aroma skin Lightening Facial,WOMEN,1,0,1300,1500,0,,Nos,GST18,exclusive,,,,,,,,
F200073,Fair bloom Fcial,WOMEN,1,0,1580,1900,0,,Nos,GST18,exclusive,,,,,,,,
F200074,Skin Lightening Advance Facial,WOMEN,1,0,2500,2900,0,,Nos,GST18,exclusive,,,,,,,,
F200075,Platinum Glow  Facial,WOMEN,1,0,2000,2400,0,,Nos,GST18,exclusive,,,,,,,,
F200076,Skin Brightening Facial,WOMEN,1,0,2100,2550,0,,Nos,GST18,exclusive,,,,,,,,
